level,topic,subtopic,question label
2,ESRS S1,S1-1,What are the grounds for discrimination that are specifically covered in this policy ?
2,ESRS S1,S1-1,Are specific policy commitments related to inclusion or positive action for people from groups at particular risk of vulnerability in place ?
2,ESRS S1,S1-1,MAY What aspects of the policy satisfy requirements of disclosure of policies related to your own workforce?
2,ESRS S1,S1-1,MAY Disclosure of communication tools and channels aimed at ensuring that policy is accessible and that different audiences understand its implications
1,ESRS S1,S1-1,Policies related to own workforce
2,ESRS S1,S1-1,"Disclosure of policies adopted to manage material impacts on own workforce / value chain workers / affected communities / consumers and end-users, as well as associated material risks and opportunities"
3,ESRS S1,S1-1,Description of relevant human rights policy commitments
4,ESRS S1,S1-1,"Description of processes and mechanisms to monitor compliance with UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work and OECD Guidelines for Multinational Enterprises"
4,ESRS S1,S1-1,"Disclosure of matters that are material in relation to, as well as general approach to respect for human rights, including labour rights"
4,ESRS S1,S1-1,"Disclosure of matters that are material in relation to, as well as general approach to engagement with people in own workforce / value chain workers / affected communities / consumers and end-users"
4,ESRS S1,S1-1,"Disclosure of matters that are material in relation to, as well as general approach to measures to provide and (or) enable remedy for human rights impacts"
3,ESRS S1,S1-1,Policies are aligned with relevant internationally recognised instruments
4,ESRS S1,S1-1,Description of how policies are aligned with relevant internationally recognised instruments
3,ESRS S1,S1-1,"Policies explicitly address trafficking in human beings, forced labour or compulsory labour and child labour"
4,ESRS S1,S1-1,Policies explicitly address trafficking in human beings
4,ESRS S1,S1-1,Policies explicitly address forced labour or compulsory labour
4,ESRS S1,S1-1,Policies explicitly address child labour
3,ESRS S1,S1-1,Workplace accident prevention policy or management system are in place
3,ESRS S1,S1-1,Specific policies aimed at elimination of discrimination are in place
4,ESRS S1,S1-1,Policies aimed at elimination of harassment are in place
4,ESRS S1,S1-1,Policies aimed at promoting equal opportunities are in place
4,ESRS S1,S1-1,Policies aimed at other ways to advance diversity and inclusion are in place
3,ESRS S1,S1-1,"Policies are implemented through specific procedures to ensure discrimination is prevented, mitigated and acted upon once detected, as well as to advance diversity and inclusion"
4,ESRS S1,S1-1,"Disclosure of how policies are implemented through specific procedures to ensure discrimination is prevented, mitigated and acted upon once detected, as well as to advance diversity and inclusion"
3,ESRS S1,S1-1,Explanations of significant changes to policies adopted during reporting year provide contextual information for users
4,ESRS S1,S1-1,Disclosure of explanations for significant changes to policies adopted during reporting year
3,ESRS S1,S1-1,Supplier codes of conduct include provisions addressing safety of workers
3,ESRS S1,S1-1,Supplier codes of conduct include provisions addressing precarious work
3,ESRS S1,S1-1,Supplier codes of conduct include provisions addressing human trafficking
3,ESRS S1,S1-1,Supplier codes of conduct include provisions addressing use of forced labour or child labour
3,ESRS S1,S1-1,Supplier codes of conduct provisions are fully in line with applicable ILO standards
3,ESRS S1,S1-1,"Policies and procedures which make qualifications, skills and experience basis for recruitment, placement, training and advancement at all levels are in place"
3,ESRS S1,S1-1,"Undertaking assigns responsibility at top management level for equal treatment and opportunities in employment, issue clear company-wide policies and procedures to guide equal employment practices, and link advancement to desired performance in this area"
3,ESRS S1,S1-1,Staff training on non-discrimination policies and practices has been provided
3,ESRS S1,S1-1,"Adjustments to physical environment to ensure health and safety for workers, customers and other visitors with disabilities have been made"
3,ESRS S1,S1-1,Undertaking evaluates whether job requirements have been defined in way that could systematically disadvantage certain groups
3,ESRS S1,S1-1,"Up-to-date records on recruitment, training and promotion that provide transparent view of opportunities for employees and their progression within undertaking have been kept"
3,ESRS S1,S1-1,"Undertaking puts in place grievance procedures to address complaints, handle appeals and provide recourse for employees when discrimination is identified, and is alert to formal structures and informal cultural issues that can prevent employees from raising concerns and grievances"
3,ESRS S1,S1-1,Programs to promote access to skills development are in place
1,ESRS S1,S1-2,Processes for engaging with own workforce and workers' representatives about impacts
2,ESRS S1,S1-2,General processes for engaging with people in own workforce about actual and potential impacts
3,ESRS S1,S1-2,Do the perspectives of your own workforce inform decisions or activities aimed at managing actual and potential impacts on them?
4,ESRS S1,S1-2,Please explain how you use the perspectives of your own workforce to inform decisions or activities aimed at managing actual and potential impacts on them.
3,ESRS S1,S1-2,Please disclose the groups for which engagement occurs within you own workforce.
3,ESRS S1,S1-2,"Please disclose the type of engagement, its frequency and the stage at which it occurs."
3,ESRS S1,S1-2,Please describe the most senior role which has operational responsibility for ensuring that this engagement happens.
3,ESRS S1,S1-2,Please disclose any agreement you have with workers’ representatives related to the respect of human rights in your own workforce (e.g. Global Framework Agreement).
3,ESRS S1,S1-2,"Where applicable, please disclose how you assess the effectiveness of your engagement with your own workforce"
3,ESRS S1,S1-2,"Where applicable, describe the steps you take to gain insight on the perspectives of people in your own workforce that may be particularly vulnerable to impacts (e.g. women, migrants, people with disabilities…)."
3,ESRS S1,S1-2,"If you don’t have any process to engage with your own workforce, please state why and your plan to do so in the future."
4,ESRS S1,S1-2,Timeframe for adoption of general process to engage with own workforce
3,ESRS S1,S1-2,MAY Disclosure of how undertaking engages with at-risk or persons in vulnerable situations
3,ESRS S1,S1-2,MAY Disclosure of how potential barriers to engagement with people in own workforce are taken into account
3,ESRS S1,S1-2,MAY Disclosure of how people in own workforce are provided with information that is understandable and accessible through appropriate communication channels
3,ESRS S1,S1-2,MAY Disclosure of any conflicting interests that have arisen among own workforce and how these conflicting interests have been resolved
3,ESRS S1,S1-2,MAY Disclosure of how undertaking seeks to respect human rights of all stakeholders engaged
3,ESRS S1,S1-2,MAY Information about effectiveness of processes for engaging with own workforce from previous reporting periods
1,ESRS S1,S1-3,Processes to remediate negative impacts and channels for own workforce to raise concerns
2,ESRS S1,S1-3,"In this section, you will describe the processes in place to provide for or cooperate in remediation of negative impacts on people in your own workforce, as well as channels available to raise concerns and have them addressed"
3,ESRS S1,S1-3,Please describe your processes to provide or contribute to remedy your material negative impacts on people in your own workforce
4,ESRS S1,S1-3,Do you assess that remedy provided for material negative impact on people in your own workforce is effective?
5,ESRS S1,S1-3,Please disclose how you assess it.
3,ESRS S1,S1-3,Please describe any channel you have in place for your own workforce to raise their concerns or needs directly.
4,ESRS S1,S1-3,Are you relying solely on information provided by your business relationships about existence of channels to raise concerns or needs?
4,ESRS S1,S1-3,Please describe your specific channels for your own workforce to raise concerns or needs
4,ESRS S1,S1-3,MAY Accessibility of third party mechanisms for own workforce
4,ESRS S1,S1-3,MAY People in own workforce that may be affected are able to access channels at level of undertaking they are employed by or contracted to work for
5,ESRS S1,S1-3,Disclosure of how people in own workforce / value chain workers that may be affected are able to access channels at level of undertaking they are employed by or contracted to work for
3,ESRS S1,S1-3,Do you have a grievance or complaints handling mechanism related to employee matters?
3,ESRS S1,S1-3,Please describe the process you have to support the availability of such channels.
3,ESRS S1,S1-3,"Please explain how you track the issues raised and addressed, and how you ensure the effectiveness of the channels."
3,ESRS S1,S1-3,Do you assess that your own workforce is aware and trust these channels as a way to raise their concerns and have them addressed?
4,ESRS S1,S1-3,Please explain how you assess it.
3,ESRS S1,S1-3,Please specify if you have policies to protect the people that use the channels against retaliation.
3,ESRS S1,S1-3,Channel for raising concerns for people in own workforce / value chain workers / affected communities / consumers and end-users has not been adopted
3,ESRS S1,S1-3,Availability of channel for raising concerns is not supported for people in own workforce / value chain workers / affected communities / consumers and end-users
3,ESRS S1,S1-3,MAY Disclosure of timeframe for channel for raising concerns to be in place
1,ESRS S1,S1-4,"Minimum Disclosure Requirement - action plans to manage material impacts, risks, and opportunities related to own workforce"
2,ESRS S1,S1-4,Name or identifier of action (plan)
2,ESRS S1,S1-4,"Name or identifier of related impacts, risks and opportunities"
2,ESRS S1,S1-4,Name or identifier of related policy
2,ESRS S1,S1-4,Describe your action
3,ESRS S1,S1-4,Status of the action
3,ESRS S1,S1-4,Time horizon under which key action is to be completed
3,ESRS S1,S1-4,Year when key action is to be completed
2,ESRS S1,S1-4,Please describe the expected outcomes of your key action and how its implementation contributes to the achievement of policy objectives and targets
2,ESRS S1,S1-4,Describe the scope of the action
2,ESRS S1,S1-4,Is your key action taken for those harmed by your actual material impacts?
3,ESRS S1,S1-4,Have you taken actions to provide or enable remedy in relation to an actual material impact on your own workforce ?
4,ESRS S1,S1-4,Disclosure of how action to provide or enable remedy in relation to actual material impact on own workforce / value chain workers / affected communities / consumers and end-users has been taken
2,ESRS S1,S1-4,Please describe quantitative and qualitative information regarding the progress of your actions disclosed in prior periods
1,ESRS S1,S1-4,"Minimum Disclosure Requirement - resources to manage material impacts, risks, and opportunities related to own workforce"
2,ESRS S1,S1-4,Disclosure of significant Opex and/or Capex required for the implementation of your action plan
3,ESRS S1,S1-4,Name or identifier of action (plan)
3,ESRS S1,S1-4,Description of type of current and future financial and other resources allocated to action plan
3,ESRS S1,S1-4,Does your ability to implement action or action plan depend on specific preconditions?
3,ESRS S1,S1-4,Please explain how the current financial resources relate to the most relevant amounts presented in your financial statements
1,ESRS S1,S1-4,"Minimum Disclosure Requirement - resources to manage material impacts, risks, and opportunities related to own workforce - detailed"
2,ESRS S1,S1-4,Financial resources allocated to action plan (OpEx)
2,ESRS S1,S1-4,Financial resources allocated to action plan (CapEx)
1,ESRS S1,S1-4,"Taking action on material impacts on your own workforce, and approaches to managing your material risks and pursuing material opportunities related to your own workforce, and effectiveness of those actions"
2,ESRS S1,S1-4,"In this section, you will describe how you take actions to address your material negative and positive impacts, and to manage your material risks and to pursue material opportunities related to your own workforce. You will also explain the effectiveness of those actions."
3,ESRS S1,S1-4,For your material impacts related to your own workforce
4,ESRS S1,S1-4,"Please describe the actions taken, planned or underway to prevent or mitigate material negative impacts on your own workforce"
5,ESRS S1,S1-4,MAY Do you seek to use leverage in business relationships to manage material negative impacts affecting your own workforce?
6,ESRS S1,S1-4,Please explain how.
5,ESRS S1,S1-4,MAY Please explain how your participation in industry or multi-stakeholder initiative is aiming to address your material impacts
5,ESRS S1,S1-4,"Specifically, could you describe the measures taken to mitigate negative impacts on your own workforce that arise from transition to greener, climate-neutral economy"
4,ESRS S1,S1-4,Please describe any additional action or initiative intending to delivering positive impacts for your own workforce
5,ESRS S1,S1-4,MAY People in own workforce and workers' representatives play role in decisions regarding design and implementation of programmes or processes whose primary aim is to deliver positive impacts
6,ESRS S1,S1-4,Disclosure of how people in own workforce and workers' representatives play role in decisions regarding design and implementation of programmes or processes whose primary aim is to deliver positive impacts
5,ESRS S1,S1-4,MAY Disclosure of intended or achieved positive outcomes of programmes or processes for people in own workforce / value chain workers / affected communities / consumers and end-users
5,ESRS S1,S1-4,MAY Sustainable Development Goals which initiatives or processes whose primary aim is to deliver positive impacts for people in own workforce / value chain workers / affected communities / consumers and end-users are designed to support achievement of
4,ESRS S1,S1-4,Please describe how the effectiveness of your actions and initiatives in delivering outcomes for own workforce is tracked and assessed
4,ESRS S1,S1-4,Please describe the processes through which you identify what action is needed and appropriate in response to a particular actual or potential negative impact on your own workforce 
4,ESRS S1,S1-4,Do you ensure that your own practices do not cause or contribute to material negative impacts on your own workforce?
5,ESRS S1,S1-4,Please explain how
4,ESRS S1,S1-4,Please precise the resources allocated to the management of your material impacts
5,ESRS S1,S1-4,MAY Description of internal functions that are involved in managing impacts and types of action taken by internal functions to address negative and advance positive impacts
4,ESRS S1,S1-4,MAY Disclosure of general and specific approaches to addressing material negative impacts
4,ESRS S1,S1-4,MAY Disclosure of initiatives aimed at contributing to additional material positive impacts
4,ESRS S1,S1-4,MAY Disclosure of how far undertaking has progressed in efforts during reporting period
4,ESRS S1,S1-4,MAY Disclosure of aims for continued improvement
3,ESRS S1,S1-4,For your material risks and opportunities related to your own workforce
4,ESRS S1,S1-4,Please describe the actions planned or underway to mitigate material risks arising from impacts and dependencies on your own workforce and how effectiveness is tracked
4,ESRS S1,S1-4,Please describe the actions planned or underway to pursue material opportunities in relation to your own workforce
1,ESRS S1,S1-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities"
2,ESRS S1,S1-5,Disclosure of time-bound and outcome-oriented targets
3,ESRS S1,S1-5,Disclosure of process for setting time-bound and outcome-oriented targets
4,ESRS S1,S1-5,Have stakeholders been involved in setting the target?
5,ESRS S1,S1-5,Please explain how
4,ESRS S1,S1-5,Were your own workforce or workers' representatives engaged directly in tracking performance against targets?
5,ESRS S1,S1-5,Please explain how
4,ESRS S1,S1-5,Were your own workforce or workers' representatives engaged directly in identifying lessons or improvements as a result of your performance?
5,ESRS S1,S1-5,Please explain how
1,ESRS S1,S1-5,"Minimum Disclosure Requirement - targets related to reducing negative impacts, advancing positive impacts and managing material risks and opportunities on your own workforce"
2,ESRS S1,S1-5,Disclosure of measurable outcome-oriented and time-bound target
3,ESRS S1,S1-5,Name or identifier of target
3,ESRS S1,S1-5,"Name or identifier of related impacts, risks and opportunities"
3,ESRS S1,S1-5,"Target relationship to impacts, risks and opportunities"
3,ESRS S1,S1-5,Name or identifier of related policy
3,ESRS S1,S1-5,Measurable target (absolute value)
3,ESRS S1,S1-5,Measurable target (percentage)
3,ESRS S1,S1-5,Absolute or relative target
3,ESRS S1,S1-5,ESRS metric(s) used for target
3,ESRS S1,S1-5,Description of scope of target
3,ESRS S1,S1-5,Baseline value of measurable target (absolute value)
3,ESRS S1,S1-5,Baseline value of measurable target (percentage)
3,ESRS S1,S1-5,Base year from which progress is measured
3,ESRS S1,S1-5,Period to which target applies
3,ESRS S1,S1-5,Indication of milestones or interim targets
3,ESRS S1,S1-5,Description of methodologies and significant assumptions used to define target
3,ESRS S1,S1-5,Have stakeholders been involved in target setting ?
4,ESRS S1,S1-5,Please expalin how
3,ESRS S1,S1-5,"Description of any changes in target and corresponding metrics or underlying measurement methodologies, significant assumptions, limitations, sources and adopted processes to collect data"
3,ESRS S1,S1-5,Description of performance against disclosed target
4,ESRS S1,S1-5,Measurable target current progress (absolute value)
4,ESRS S1,S1-5,Measurable target current progress (percentage)
4,ESRS S1,S1-5,Is the progress is in line with what had been initially planned ?
3,ESRS S1,S1-5,MAY Disclosure of intended outcomes to be achieved in lives of people in your own workforce
3,ESRS S1,S1-5,MAY Disclosure of stability of target over time in terms of definitions and methodologies to enable comparability
3,ESRS S1,S1-5,MAY Disclosure of standards or commitments on which target is based
1,ESRS S1,S1-5,"Minimum Disclosure Requirement - targets related to reducing negative impacts, advancing positive impacts and managing material risks and opportunities on own workforce - targets not adopted"
2,ESRS S1,S1-5,Measurable outcome-oriented targets have not been set
3,ESRS S1,S1-5,"Name or identifier of related impacts, risks and opportunities"
3,ESRS S1,S1-5,Measurable outcome-oriented targets will be set
4,ESRS S1,S1-5,Disclosure of timeframe for setting of measurable outcome-oriented targets
3,ESRS S1,S1-5,Description of reasons why there are no plans to set measurable outcome-oriented targets
3,ESRS S1,S1-5,"Effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity"
4,ESRS S1,S1-5,"Description of processes through which effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity"
4,ESRS S1,S1-5,Description of defined level of ambition to be achieved and of any qualitative or quantitative indicators used to evaluate progress
4,ESRS S1,S1-5,Base year from which progress is measured
4,ESRS S1,S1-5,Baseline value against which progress is considered (absolute value)
4,ESRS S1,S1-5,Baseline value against which progress is considered (percentage)
1,ESRS S1,S1-6,Description of key characteristics of employees in your own workforce
2,ESRS S1,S1-6,Characteristics of your employees
3,ESRS S1,S1-6,"Total number of employees (head count), at end of period"
3,ESRS S1,S1-6,"Total number of employees (head count), during period"
3,ESRS S1,S1-6,"Total number of employees who have left undertaking, during period"
3,ESRS S1,S1-6,Percentage of employee turnover
3,ESRS S1,S1-6,Description of methodologies and assumptions used to compile data (employees)
4,ESRS S1,S1-6,Employees numbers are reported using another methodology
5,ESRS S1,S1-6,Explanation of another methodology used to compile data (employees)
4,ESRS S1,S1-6,Description of methodology for employee turnover rate
3,ESRS S1,S1-6,Disclosure of contextual information necessary to understand data (employees)
4,ESRS S1,S1-6,Explanation of why it is not possible to disclose data about employees for gender categorised as other than female and male and why this category is not applicable
3,ESRS S1,S1-6,Disclosure of reference of information reported on total number of employees to most representative number in financial statements
2,ESRS S1,S1-6,Characteristics of undertaking's employees - number of employees by gender
3,ESRS S1,S1-6,"Total number of employees (head count), at end of period"
3,ESRS S1,S1-6,"Total number of employees (head count), during period"
2,ESRS S1,S1-6,Characteristics of undertaking's employees - number of employees in countries with 50 or more employees
3,ESRS S1,S1-6,"Total number of employees in countries with 50 or more employees representing at least 10% of total number of employees, at end of period"
3,ESRS S1,S1-6,"Total number of employees in countries with 50 or more employees representing at least 10% of total number of employees, during period"
2,ESRS S1,S1-6,Characteristics of undertaking's employees - information on employees by contract type and gender
3,ESRS S1,S1-6,Methodology of employees measurement
3,ESRS S1,S1-6,"Total number of employees (head count or full-time equivalent), at end of period"
3,ESRS S1,S1-6,"Total number of employees (head count or full-time equivalent), during period"
2,ESRS S1,S1-6,Characteristics of undertaking's employees - information on employees by contract type and region
3,ESRS S1,S1-6,Methodology of employees measurement
3,ESRS S1,S1-6,"Total number of employees (head count or full-time equivalent), at end of period"
3,ESRS S1,S1-6,"Total number of employees (head count or full-time equivalent), during period"
1,ESRS S1,S1-7,Description of key characteristics of non-employees in own workforce
2,ESRS S1,S1-7,Characteristics of non-employees in undertaking's own workforce
3,ESRS S1,S1-7,"Total number of non-employees in own workforce, at end of period"
4,ESRS S1,S1-7,"Total number of non-employees in own workforce - self-employed people, at end of period"
4,ESRS S1,S1-7,"Total number of non-employees in own workforce - people provided by undertakings primarily engaged in employment activities, at end of period"
3,ESRS S1,S1-7,"Total number of non-employees in own workforce, during period"
4,ESRS S1,S1-7,"Total number of non-employees in own workforce - self-employed people, during period"
4,ESRS S1,S1-7,"Total number of non-employees in own workforce - people provided by undertakings primarily engaged in employment activities, during period"
3,ESRS S1,S1-7,Description of methodologies and assumptions used to compile data (non-employees)
4,ESRS S1,S1-7,Methodology of non-employees measurement
4,ESRS S1,S1-7,Non-employees numbers are reported using another methodology
5,ESRS S1,S1-7,Explanation of another methodology used to compile data (non-employees)
3,ESRS S1,S1-7,Disclosure of contextual information necessary to understand data (non-employees)
3,ESRS S1,S1-7,"Disclosure of most common types of non-employees, their relationship with undertaking, and type of work that they perform"
3,ESRS S1,S1-7,Non-employees data is estimated because data is not available
4,ESRS S1,S1-7,Description of basis of preparation of non-employees estimated number
1,ESRS S1,S1-8,Disclosure of extent to which working conditions and terms of employment of employees are determined or influenced by collective bargaining agreements and extent to which employees are represented in social dialogue in EEA at establishment and European level
2,ESRS S1,S1-8,Collective bargaining coverage and social dialogue
3,ESRS S1,S1-8,Percentage of total employees covered by collective bargaining agreements
3,ESRS S1,S1-8,Undertaking has one or more collective bargaining agreements (EEA)
3,ESRS S1,S1-8,Basis for determination of working conditions and terms of employment for employees not covered by collective bargaining agreements
3,ESRS S1,S1-8,Disclosure of extent to which working conditions and terms of employment of non-employees in own workforce are determined or influenced by collective bargaining agreements
3,ESRS S1,S1-8,Percentage of non-employees in own workforce whose working conditions and terms of employment are determined or influenced by collective bargaining agreements
3,ESRS S1,S1-8,"Disclosure of existence of any agreement with employees for representation by European Works Council (EWC), Societas Europaea (SE) Works Council, or Societas Cooperativa Europaea (SCE) Works Council"
2,ESRS S1,S1-8,Collective bargaining coverage and social dialogue by country (EEA)
3,ESRS S1,S1-8,Coverage rate of employees in country (EEA) that are covered by collective bargaining agreements
3,ESRS S1,S1-8,Coverage rate of employees in country (EEA) that are covered at establishment level by workers' representatives
2,ESRS S1,S1-8,Collective bargaining coverage by region (non-EEA)
3,ESRS S1,S1-8,Coverage rate of employees in region (non-EEA) that are covered by collective bargaining agreements
1,ESRS S1,S1-9,Disclosure of gender distribution at top management and age distribution amongst employees
2,ESRS S1,S1-9,Diversity metrics - detailed
3,ESRS S1,S1-9,"Number of employees (head count) under 30 years old, during period"
3,ESRS S1,S1-9,"Number of employees (head count) under 30 years old, at end of period"
3,ESRS S1,S1-9,Percentage of employees under 30 years old
3,ESRS S1,S1-9,"Number of employees (head count) between 30 and 50 years old, during period"
3,ESRS S1,S1-9,"Number of employees (head count) between 30 and 50 years old, at end of period"
3,ESRS S1,S1-9,Percentage of employees between 30 and 50 years old
3,ESRS S1,S1-9,"Number of employees (head count) over 50 years old, during period"
3,ESRS S1,S1-9,"Number of employees (head count) over 50 years old, at end of period"
3,ESRS S1,S1-9,Percentage of employees over 50 years old
3,ESRS S1,S1-9,Disclosure of own definition of top management used
2,ESRS S1,S1-9,Diversity metrics
3,ESRS S1,S1-9,"Number of employees (head count) at top management level, during period"
3,ESRS S1,S1-9,"Number of employees (head count) at top management level, at end of period"
3,ESRS S1,S1-9,Percentage of employees at top management level
1,ESRS S1,S1-10,"Disclosure of whether or not employees are paid adequate wage, and if not all employees are paid adequate wage, countries and percentage of employees concerned"
2,ESRS S1,S1-10,Adequate wages
3,ESRS S1,S1-10,All employees and (or) non-employees are paid adequate wage in line with applicable benchmarks
3,ESRS S1,S1-10,Countries where employees and (or) non-employees earn below applicable adequate wage benchmark
2,ESRS S1,S1-10,Adequate wages by country
3,ESRS S1,S1-10,Percentage of employees and (or) non-employees paid below applicable adequate wage benchmark
1,ESRS S1,S1-13,Disclosure of extent to which training and skills development is provided to employees
2,ESRS S1,S1-13,Training and skills development metrics
3,ESRS S1,S1-13,Percentage of employees and (or) non-employees that participated in regular performance and career development reviews
3,ESRS S1,S1-13,Average number of training hours per employee and (or) non-employee
2,ESRS S1,S1-13,Training and skills development metrics by employee category and gender
3,ESRS S1,S1-13,Percentage of employees and (or) non-employees that participated in regular performance and career development reviews
3,ESRS S1,S1-13,Average number of training hours per employee and (or) non-employee
1,ESRS S1,S1-11,Disclosure of whether employees are covered by social protection against loss of income due to major life events and countries where this is not case
2,ESRS S1,S1-11,Social protection - major life events
3,ESRS S1,S1-11,Countries where employees and (or) non-employees do not have social protection with regard to one or more of types of major life events
2,ESRS S1,S1-11,Social protection by country
3,ESRS S1,S1-11,"Disclosure of types of employees and (or) non-employees who are not covered by social protection, through public programs or through benefits offered, against loss of income due to sickness"
3,ESRS S1,S1-11,"Disclosure of types of employees and (or) non-employees who are not covered by social protection, through public programs or through benefits offered, against loss of income due to unemployment starting from when own worker is working for undertaking"
3,ESRS S1,S1-11,"Disclosure of types of employees and (or) non-employees who are not covered by social protection, through public programs or through benefits offered, against loss of income due to employment injury and acquired disability"
3,ESRS S1,S1-11,"Disclosure of types of employees and (or) non-employees who are not covered by social protection, through public programs or through benefits offered, against loss of income due to parental leave"
3,ESRS S1,S1-11,"Disclosure of types of employees and (or) non-employees who are not covered by social protection, through public programs or through benefits offered, against loss of income due to retirement"
1,ESRS S1,S1-15,Disclosure of extent to which employees are entitled to and make use of family-related leave
2,ESRS S1,S1-15,Work-life balance metrics
3,ESRS S1,S1-15,Percentage of employees entitled to take family-related leaves
3,ESRS S1,S1-15,Percentage of entitled employees that took family-related leave
3,ESRS S1,S1-15,All employees are entitled to family-related leave through social policy and (or) collective bargaining agreements
2,ESRS S1,S1-15,Percentage of entitled employees that took family-related leave by gender
3,ESRS S1,S1-15,Percentage of entitled employees that took family-related leave
1,ESRS S1,S1-14,Disclosure of extent to which own workforce is covered by health and safety management system
2,ESRS S1,S1-14,Health and safety metrics
3,ESRS S1,S1-14,"Health and safety management system, or certain parts thereof, has been subject to internal audit or external certification"
3,ESRS S1,S1-14,Description of underlying standards for internal audit or external certification of health and safety management system
3,ESRS S1,S1-14,Percentage of own workers covered by health and safety management system based on legal requirements and (or) recognised standards or guidelines and which has been internally audited and (or) audited or certified by external party
2,ESRS S1,S1-14,Health and safety metrics - detailed
3,ESRS S1,S1-14,Percentage of people in own workforce who are covered by health and safety management system based on legal requirements and (or) recognised standards or guidelines
3,ESRS S1,S1-14,Number of fatalities in own workforce as result of work-related injuries and work-related ill health
4,ESRS S1,S1-14,Number of fatalities in own workforce as result of work-related injuries
4,ESRS S1,S1-14,Number of fatalities in own workforce as result of work-related ill health
3,ESRS S1,S1-14,Number of fatalities as result of work-related injuries and work-related ill health of other workers working on undertaking's sites
4,ESRS S1,S1-14,Number of fatalities as result of work-related injuries of other workers working on undertaking's sites
4,ESRS S1,S1-14,Number of fatalities as result of work-related ill health of other workers working on undertaking's sites
3,ESRS S1,S1-14,Number of recordable work-related accidents
3,ESRS S1,S1-14,Rate of recordable work-related accidents
3,ESRS S1,S1-14,Number of cases of recordable work-related ill health
3,ESRS S1,S1-14,"Number of days lost to work-related injuries and fatalities from work-related accidents, work-related ill health and fatalities from ill health"
1,ESRS S1,S1-16,Disclosure of percentage gap in pay between female and male employees and ratio between remuneration of highest paid individual and median remuneration for employees
2,ESRS S1,S1-16,Remuneration metrics (pay gap and total remuneration)
3,ESRS S1,S1-16,Gender pay gap
